index,source_timestamp,receipt_uptime,sensor_location,user_acceleration_x,user_acceleration_y,user_acceleration_z,gravity_x,gravity_y,gravity_z,rotation_rate_x,rotation_rate_y,rotation_rate_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,roll,pitch,yaw
2399,939521.2703825852,939521.2976087084,right,-0.0009874822571873665,0.0020105550065636635,0.0020902587566524744,-0.34721577167510986,-0.8291093111038208,-0.4381997585296631,0.00377205153927207,-0.0006481724558398128,-0.003015626920387149,0.8314475886208987,0.43907244541104623,-0.29684260205565205,-0.16671779181975457,-0.6700703802552902,0.9775127312312082,-0.029630156300851147
2400,939521.2903825853,939521.3330892083,right,-0.001159770181402564,0.0030326161067932844,0.0009801863925531507,-0.34716930985450745,-0.8291741013526917,-0.43811389803886414,0.006166985258460045,0.0027171499095857143,-0.002236927393823862,0.8314214005928485,0.43912599005183334,-0.2968357119944451,-0.16671960406913222,-0.6701006475794309,0.977628676618234,-0.029578956503250355
2401,939521.3103825853,939521.3351743751,right,-0.0017380753997713327,0.0010242304997518659,-0.0008242775220423937,-0.34704655408859253,-0.8292672634124756,-0.43803495168685913,0.007148129865527153,0.010434414260089397,-0.003646095050498843,0.8314026583045572,0.43921329264570974,-0.29677301360016806,-0.16669488337490976,-0.6700161721674021,0.9777952972082484,-0.029507308197009974
2402,939521.3303825853,939521.3705392501,right,-0.002836469328030944,0.0005817770143039525,-0.002308177761733532,-0.34688228368759155,-0.8293522000312805,-0.4380042552947998,0.005888668820261955,0.013468477874994278,-0.002528377342969179,0.8314056549737758,0.4393072325166933,-0.2966598108186015,-0.16663398187859824,-0.6698198523925869,0.9779473437052266,-0.02941268541229196
2403,939521.3503825853,939521.3750536251,right,-0.002823994727805257,0.0036344402469694614,-0.003247429383918643,-0.34675368666648865,-0.8293981552124023,-0.4380187690258026,0.0042676473967731,0.013000385835766792,0.001211396767757833,0.831425027191299,0.43937381605830456,-0.2965489587733685,-0.1665583887956407,-0.6696232759811461,0.9780296101816272,-0.029306445165056712
2404,939521.3703825853,939521.3955519584,right,-0.0028183877002447844,0.00506802462041378,-0.003688384545966983,-0.3466920256614685,-0.8294000625610352,-0.43806400895118713,0.0024191737174987793,0.013186321593821049,0.00385384913533926,0.8314567841549715,0.439408361118367,-0.2964596294726093,-0.16646783656346997,-0.66948651161402,0.9780330193510803,-0.029159772754169276
2405,939521.3903825853,939521.4328409584,right,-0.00269557093270123,0.0050153001211583614,-0.004616252146661282,-0.3466154932975769,-0.8293687701225281,-0.4381837546825409,-0.0024274468887597322,0.016561930999159813,0.0011143740266561508,0.8315112732736751,0.4394162812685911,-0.29634687839993523,-0.16637534453890926,-0.6692460479353457,0.9779769925389985,-0.029083429010613494
2406,939521.4103825854,939521.435237625,right,-0.002587324706837535,0.005389291327446699,-0.003975952975451946,-0.34641075134277344,-0.8293288946151733,-0.43842124938964844,-0.00623700674623251,0.018414409831166267,-0.002166971331462264,0.8315951721994268,0.43940762123685534,-0.2961593148340123,-0.1663131897672451,-0.6686950110451233,0.977905585189619,-0.029249552835121817
2407,939521.4303825854,939521.4786645,right,-0.0028264946304261684,0.006620430387556553,-0.0033119081053882837,-0.34621548652648926,-0.8292639255523682,-0.4386982023715973,-0.008606641553342342,0.016028672456741333,-0.0005212440737523139,0.8316869665966691,0.4393713691903256,-0.2959792555189123,-0.16627018185466794,-0.6681135973062968,0.9777892989849543,-0.02949278898246083
2408,939521.4503825854,939521.4794363334,right,-0.002309271600097418,0.005495620891451836,-0.0026419442147016525,-0.3460604250431061,-0.8291769623756409,-0.438984751701355,-0.01204845029860735,0.017196135595440865,-0.002447374863550067,0.8317793476457932,0.4393123323616779,-0.295824814801365,-0.1662388338327917,-0.6675782736562358,0.977633755054199,-0.029753036762900698
