index,source_timestamp,receipt_uptime,sensor_location,user_acceleration_x,user_acceleration_y,user_acceleration_z,gravity_x,gravity_y,gravity_z,rotation_rate_x,rotation_rate_y,rotation_rate_z,quaternion_w,quaternion_x,quaternion_y,quaternion_z,roll,pitch,yaw
1702,941445.5279465708,941445.569224125,right,0.010027367621660233,-0.010940629057586193,-0.008222799748182297,-0.6112147569656372,0.22578264772891998,0.7585769891738892,0.05102930963039398,0.009489113464951515,-0.010970019735395908,0.0951484671898825,-0.9349650007979162,0.07161637060405822,-0.3341532623835333,-2.46336224027817,-0.22774636845572185,3.0693363491384344
1703,941445.5479465708,941445.5877620417,right,0.006900285370647907,-0.00865532923489809,-0.004395774565637112,-0.6114193201065063,0.22626538574695587,0.7582679390907288,0.04744981601834297,0.009230656549334526,-0.026793841272592545,0.09553311622131638,-0.93491017898377,0.07125227121179867,-0.33427452075555925,-2.462999636658146,-0.2282419349015659,3.0703252541778148
1704,941445.5679465708,941445.6234255,right,0.002854530466720462,-0.005749114323407412,-0.0011855155462399125,-0.6116509437561035,0.22647495567798615,0.7580183744430542,0.03722023218870163,0.002411570632830262,-0.03923190012574196,0.09580784421807446,-0.9348790604840829,0.0707834363481271,-0.33438240582803685,-2.462653713417752,-0.22845708291749725,3.0714388038875513
1705,941445.5879465708,941445.6236285,right,0.000854124897159636,-0.00210983376018703,0.0009641516371630132,-0.6118522882461548,0.226318359375,0.7579030990600586,0.021808503195643425,-0.0020155783277004957,-0.05151753127574921,0.09591922432865799,-0.93489048982564,0.07022315851186828,-0.33443696056476657,-2.4624185186418224,-0.22829632318460047,3.0726053323639473
1706,941445.6079465708,941445.6375957917,right,-0.0014241592725738883,-0.0008428487926721573,0.002941874787211418,-0.6120093464851379,0.22582228481769562,0.7579239010810852,0.00855842512100935,-0.011476077139377594,-0.05527807027101517,0.09586387122276052,-0.9349410351508504,0.06962171485282499,-0.33443704703820976,-2.4623064879814063,-0.22778705350449469,3.073725251611721
1707,941445.6279465709,941445.6564592917,right,-0.001816640025936067,0.0003676068445201963,0.0026350331027060747,-0.6119422912597656,0.2252592146396637,0.7581454515457153,0.003659525653347373,-0.026235491037368774,-0.043491773307323456,0.09574807626281581,-0.9350387445783176,0.06910303467847216,-0.3343044794084306,-2.462502915852311,-0.22720909637423775,3.0746123729410373
1708,941445.6479465709,941445.6907447918,right,-0.0012014276580885053,0.0008272602572105825,0.0005347455153241754,-0.6115769743919373,0.22489437460899353,0.758548378944397,0.004079914651811123,-0.03767423704266548,-0.024149592965841293,0.09569446215588152,-0.9351741632799289,0.0687273716434145,-0.33401836541992536,-2.4630543842093555,-0.22683464401719694,3.0752284287084595
1709,941445.6679465709,941445.6974513751,right,0.001977737294510007,0.0012471912195906043,-0.0023814081214368343,-0.6110332608222961,0.2247801274061203,0.7590208053588867,0.006660071201622486,-0.037723105400800705,-0.009750130586326122,0.09571760140185365,-0.9353152890696027,0.06852501688999128,-0.3336582885861017,-2.4637930871292126,-0.22671740829604534,3.075544631371494
1710,941445.6879465709,941445.7436069584,right,0.005542304366827011,0.002896122168749571,-0.004885929170995951,-0.6105595231056213,0.2247762531042099,0.7594026923179626,0.0041072918102145195,-0.022228235378861427,-0.007505724206566811,0.09577175671254073,-0.9354267051303621,0.0683973331989463,-0.333356237305817,-2.464417543978003,-0.22671342758555352,3.075752314882071
1711,941445.7079465709,941445.7511275834,right,0.00528678297996521,0.004931395873427391,-0.00547412596642971,-0.6103809475898743,0.22467684745788574,0.7595759630203247,-0.0008006823481991887,-0.003147255629301071,-0.011574871838092804,0.09576159705685544,-0.9354810665448887,0.0682871007153939,-0.33322937866434404,-2.4646718116479267,-0.22661140324895038,3.0759263923015183
1712,941445.727946571,941445.7662901668,right,0.001218826393596828,0.0061002857983112335,-0.0029683378525078297,-0.6104775071144104,0.22449424862861633,0.759552001953125,-0.0030009683687239885,0.005979842506349087,-0.006236195098608732,0.09569875099351287,-0.9354823399972098,0.06818185745460639,-0.33326518543738576,-2.4645791630160296,-0.22642402000905762,3.076095506606333
1713,941445.747946571,941445.787897125,right,-0.0006635300233028829,0.006299410946667194,-0.0021277149207890034,-0.6105282306671143,0.2244543731212616,0.7595230340957642,-0.0018010293133556843,-0.0025823088362812996,0.009729184210300446,0.09566992293722798,-0.9354733176288874,0.06819939905933872,-0.3332951990447884,-2.464519970457018,-0.22638309892168612,3.0760497846650363
1714,941445.767946571,941445.7975899584,right,-0.001385994371958077,0.00531946774572134,-0.0027907188050448895,-0.6102545857429504,0.2247101366519928,0.7596678137779236,-0.0010015100706368685,-0.019492274150252342,0.031792499125003815,0.095735302476429,-0.935495968128342,0.0684191636331708,-0.3331681380394607,-2.4648319390631603,-0.22664556834215546,3.0756395867027018
